track_name,danceability,energy,loudness,speechiness,acousticness,valence,instrumentalness,liveness,tempo,performer
Buffalo (Tatanka),0.54,0.983,-2.212,0.0384,0.0248,0.689,0.872,0.316,95.101,Tatanka
The Horror (The Boogeyman),0.609,0.95,-6.634,0.0689,0.00012,0.694,0.852,0.118,94.966,The Boogeyman
Dragon (Ricky “the Dragon” Steamboat),0.475,0.961,-5.332,0.0319,0.00103,0.933,0.896,0.0531,144.19,Ricky “the Dragon” Steamboat
Unstable (Ultimate Warrior) [Legends of WWE],0.633,0.773,-11.199,0.164,2.13e-05,0.831,0.93,0.0823,145.167,Ultimate Warrior [Legends of WWE]
What’s Up? (The Golden Truth Remix) [Golden Truth],0.595,0.64,-13.005,0.12,0.0433,0.508,0.0,0.0629,90.572,The Golden Truth Remix [Golden Truth]
Broken Dreams (Drew McIntyre) [Bonus Track],0.459,0.74,-7.699,0.03,0.000975,0.288,0.000185,0.125,84.955,Drew McIntyre [Bonus Track]
Square Up (Sonya Deville),0.171,0.884,-6.184,0.0648,0.000112,0.478,0.671,0.0923,141.921,Sonya Deville
Next Level (Roderick Strong),0.557,0.975,-5.535,0.108,2.91e-05,0.206,0.906,0.39,122.015,Roderick Strong
Ambition and Vision (Austin Aries),0.468,0.954,-5.686,0.0713,0.000108,0.555,0.921,0.442,155.022,Austin Aries
Break Orbit (Neville) ['17 Remix],0.507,0.986,-5.364,0.145,0.00338,0.248,0.659,0.15,119.033,Neville ['17 Remix]
Hero's Welcome (Kassius Ohno),0.572,0.918,-3.625,0.0742,0.0467,0.596,0.0,0.0546,94.217,Kassius Ohno
Gallantry (Drew McIntyre),0.517,0.931,-3.838,0.0725,6.17e-06,0.356,0.918,0.0963,109.941,Drew McIntyre
We Riot (Ruby Riott),0.401,0.985,-4.912,0.0872,2.46e-06,0.51,0.448,0.17,85.026,Ruby Riott
Root of All Evil (Aleister Black) [feat. Incendiary],0.494,0.987,-4.451,0.106,0.000358,0.137,0.822,0.0937,140.032,Aleister Black [feat. Incendiary]
The Cat's Meow (Aliyah),0.477,0.882,-6.916,0.0293,4.52e-05,0.292,0.888,0.156,175.05,Aliyah
Heavy (Heavy Machinery),0.329,0.926,-6.213,0.0759,1.84e-06,0.235,0.863,0.403,172.177,Heavy Machinery
Strawberry Moon (Tozawa),0.649,0.866,-5.541,0.0403,0.00135,0.773,0.926,0.115,95.083,Tozawa
Les Toréadors (Jack Gallagher),0.474,0.936,-6.903,0.0493,0.00017,0.499,0.064,0.356,115.01,Jack Gallagher
Guard (Big Boss Man),0.487,0.961,-7.483,0.0351,0.00167,0.302,0.887,0.129,164.239,Big Boss Man
Inaugural (Tyler Bate),0.537,0.941,-4.254,0.0666,0.000214,0.842,0.914,0.0896,96.009,Tyler Bate
Ravishing (Lana),0.679,0.841,-7.287,0.0288,0.0504,0.964,0.927,0.168,94.984,Lana
Beast of Belfast (Killian Dain),0.398,0.882,-7.527,0.0794,0.000874,0.217,0.787,0.26,95.016,Killian Dain
Bruiserweight (Pete Dunne),0.58,0.932,-5.141,0.0546,3.15e-05,0.526,0.424,0.284,128.044,Pete Dunne
Velveteen (Velveteen Dream),0.382,0.909,-5.761,0.137,0.0124,0.767,0.00631,0.216,98.492,Velveteen Dream
Primos (The Colóns),0.435,0.97,-3.0,0.0807,0.000186,0.831,0.932,0.229,193.918,The Colóns
Glasgow Cross (Nikki Cross),0.576,0.841,-6.052,0.0811,9.9e-05,0.366,0.546,0.0688,94.989,Nikki Cross
True Love (Mike & Maria Kanellis),0.469,0.913,-4.964,0.042,0.0121,0.37,0.0,0.323,90.013,Mike & Maria Kanellis
Rebel Heart (Johnny Gargano),0.378,0.958,-5.04,0.121,2.52e-05,0.577,3.43e-05,0.349,161.934,Johnny Gargano
Bring the Swag (Street Profits),0.557,0.908,-4.996,0.0802,0.0101,0.618,0.0,0.145,167.732,Street Profits
Done With That (Day One Remix) [The Usos],0.639,0.857,-5.295,0.0361,0.00355,0.582,0.0,0.322,78.056,Day One Remix [The Usos]
Sher (Lion) [Jinder Mahal],0.847,0.816,-5.584,0.0894,0.0296,0.855,0.0,0.31,160.173,Lion [Jinder Mahal]
Medal (Remix) [Kurt Angle],0.529,0.524,-9.747,0.027,0.0699,0.747,0.791,0.703,102.094,Remix [Kurt Angle]
Smoke and Mirrors (Ugly) [Cody Rhodes],0.682,0.514,-12.62,0.038,0.000472,0.541,0.944,0.25,104.993,Ugly [Cody Rhodes]
My Time (Instrumental) [Triple H],0.457,0.98,-3.449,0.0388,0.00163,0.69,0.485,0.184,82.494,Instrumental [Triple H]
Urban Cowboy (Jeff Jarrett),0.747,0.791,-5.931,0.0267,0.000255,0.877,0.909,0.0802,104.669,Jeff Jarrett
Dojo (Kaientai),0.608,0.724,-14.16,0.0286,0.0439,0.797,0.524,0.144,136.065,Kaientai
Gut Punch (Viscera),0.702,0.876,-5.541,0.0779,0.00761,0.609,0.571,0.265,150.037,Viscera
Next Generation of Great (Jason Jordan) [feat. J-Frost],0.392,0.837,-5.061,0.0446,0.0159,0.339,0.0,0.328,95.518,Jason Jordan [feat. J-Frost]
Freak (Lars Sullivan),0.528,0.866,-4.886,0.0302,4.28e-05,0.642,0.866,0.25,90.007,Lars Sullivan
Mustache Mountain (Trent Seven),0.433,0.971,-5.601,0.0708,2.6e-05,0.4,0.000309,0.311,141.966,Trent Seven
Set It Off (Benjamin & Gable),0.609,0.857,-4.654,0.0353,0.00148,0.191,0.00824,0.111,99.977,Benjamin & Gable
Bel Canto (Aiden English),0.438,0.766,-5.822,0.0425,0.0224,0.396,3.97e-05,0.331,95.43,Aiden English
All About Me (Emma),0.516,0.772,-4.309,0.0516,0.000583,0.185,0.296,0.336,94.94,Emma
Spiteful (Alexa Bliss),0.576,0.809,-4.652,0.0586,0.000237,0.595,0.00216,0.0945,95.009,Alexa Bliss
I Bring the Darkness (End of Days) (Baron Corbin) [feat. Tommy Vext],0.424,0.846,-4.412,0.0513,7.63e-05,0.427,0.0,0.296,115.033,End of Days 
Amazing (Remix) [Naomi],0.477,0.946,-4.795,0.283,0.0178,0.175,0.000163,0.129,135.296,Remix [Naomi]
Omen in the Sky (Gallows & Anderson),0.458,0.881,-6.496,0.0744,7.5e-05,0.242,2.07e-06,0.347,105.005,Gallows & Anderson
The Next Voyage (Kairi Sane),0.225,0.684,-6.785,0.0364,0.00936,0.155,0.191,0.0958,96.008,Kairi Sane
Undisputed (The Undisputed Era),0.555,0.904,-5.818,0.0511,0.000126,0.802,0.886,0.374,142.237,The Undisputed Era
Brotherhood (The Bludgeon Brothers),0.621,0.775,-7.013,0.0443,0.0102,0.44,0.784,0.0672,119.959,The Bludgeon Brothers
What You Think (Tamina),0.467,0.898,-6.108,0.0346,9.07e-05,0.295,0.27,0.41,89.999,Tamina
Veil of Fire (Rise Up Remix) [Kane],0.266,0.869,-4.694,0.0619,5.52e-06,0.0795,0.838,0.134,161.939,Rise Up Remix [Kane]
Loyalty Is Everything (Shayna Baszler),0.536,0.946,-6.601,0.0555,8.64e-05,0.559,0.706,0.383,135.072,Shayna Baszler
Top ONE Percent (EC3),0.493,0.937,-4.484,0.0718,0.00125,0.579,0.0,0.0751,165.818,EC3
The Deletion Anthem (Matt Hardy),0.361,0.894,-4.529,0.0825,0.00173,0.513,0.721,0.116,148.231,Matt Hardy
Masterpiece (Chris Masters),0.467,0.484,-10.033,0.0254,0.0105,0.0626,0.908,0.176,89.978,Chris Masters
I Came to Collect (Lio Rush),0.579,0.918,-5.002,0.0899,0.000131,0.285,7.43e-06,0.0699,130.054,Lio Rush
One and Only (Ricochet),0.298,0.814,-6.533,0.039,0.000168,0.382,0.964,0.238,79.998,Ricochet
The Second Coming (Burn It Down) [Seth Rollins],0.746,0.773,-7.332,0.0753,2.73e-05,0.627,0.616,0.106,94.995,Burn It Down [Seth Rollins]
Watch Me Shine (Bianca Belair),0.621,0.959,-5.11,0.132,0.0127,0.854,0.000163,0.116,159.97,Bianca Belair
Karma (Big Cass),0.288,0.799,-4.87,0.0679,1.86e-05,0.451,0.793,0.0651,167.905,Big Cass
War (Viking Raiders),0.466,0.915,-5.228,0.0354,0.000572,0.655,0.635,0.256,188.06,Viking Raiders
End of the Line (Mauro Ranallo),0.432,0.95,-4.302,0.0593,0.262,0.687,0.0,0.189,165.157,Mauro Ranallo
Finest (Kona Reeves),0.554,0.897,-5.895,0.0504,0.0102,0.63,0.0,0.314,98.07,Kona Reeves
Battlescars (The B-Team),0.462,0.944,-5.344,0.0937,0.000353,0.45,0.0,0.0647,139.928,The B-Team
Golden Goddess (Mandy Rose),0.535,0.793,-6.235,0.0362,0.000174,0.673,0.0603,0.371,89.944,Mandy Rose
Like a Lady (Lacey Evans),0.534,0.932,-3.676,0.0867,0.00307,0.486,0.0,0.291,133.951,Lacey Evans
Dismantle (James Ellsworth),0.556,0.927,-5.448,0.0369,1.93e-05,0.491,0.835,0.395,104.926,James Ellsworth
Level Up (Fabian Aichner),0.192,0.826,-4.928,0.0696,0.000426,0.13,0.889,0.25,150.045,Fabian Aichner
Gallantry (Defining Moment Remix) [Drew McIntyre],0.42,0.915,-5.505,0.0438,1.13e-06,0.358,0.883,0.126,109.948,Defining Moment Remix [Drew McIntyre]
End of Days (The Corre),0.553,0.836,-6.007,0.0534,0.0059,0.368,5.7e-05,0.0631,122.974,The Corre
Bulldog (British Bulldog),0.369,0.815,-7.568,0.0589,0.11,0.654,0.00543,0.271,141.688,British Bulldog
Precious (Ivory),0.676,0.73,-6.33,0.0248,0.0216,0.579,0.374,0.334,99.545,Ivory
Hell on Earth (Steve Austin),0.507,0.863,-8.675,0.0692,0.00342,0.52,0.845,0.791,159.94,Steve Austin
Ain't No Make Believe (Strat Remix) [John Morrison],0.555,0.914,-7.545,0.0418,5.58e-05,0.689,0.778,0.0766,148.517,Strat Remix [John Morrison]
Heroes (World's Greatest Tag Team),0.543,0.909,-6.844,0.0348,2.22e-05,0.481,0.76,0.205,115.366,World's Greatest Tag Team
Love My Brother (Brother Love),0.67,0.332,-8.387,0.0307,0.00269,0.169,0.817,0.108,66.531,Brother Love
Schizophrenic (Remix) [Mankind],0.429,0.717,-7.706,0.0306,0.000537,0.372,0.878,0.278,83.014,Remix [Mankind]
No One Will Survive (Ciampa),0.278,0.972,-5.2,0.123,2.06e-05,0.221,0.0,0.0682,184.058,Ciampa
American Made (Kacy Catanzaro),0.396,0.931,-5.375,0.0468,1.49e-05,0.723,0.864,0.0559,163.964,Kacy Catanzaro
Do Unto Others (The Forgotten Sons),0.524,0.937,-6.224,0.116,6.09e-05,0.519,0.893,0.338,177.097,The Forgotten Sons
Playing With Power (Rock Remix) [TJP],0.223,0.894,-4.523,0.0606,7.48e-05,0.276,0.729,0.0557,180.184,Rock Remix [TJP]
Stay Down (Corey Graves),0.486,0.843,-5.145,0.0542,4.89e-05,0.699,0.846,0.205,135.122,Corey Graves
The Vision (Vanessa Borne),0.471,0.916,-4.564,0.0397,0.000432,0.908,0.0,0.229,78.013,Vanessa Borne
We Riot (The Riott Squad),0.342,0.986,-4.934,0.207,2.19e-06,0.188,0.776,0.227,85.01,The Riott Squad
The Rising Sun (WrestleMania 34 Performance),0.218,0.886,-3.901,0.0639,0.0114,0.363,0.972,0.141,160.039,WrestleMania 34 Performance
All Grown Up (General Manager Remix) [Stephanie McMahon],0.879,0.916,-4.761,0.237,0.0627,0.656,0.0,0.323,90.744,General Manager Remix [Stephanie McMahon]
Tropical Storm (Pacific Islands Remix) [Tamina],0.731,0.924,-8.078,0.0428,0.000156,0.238,0.885,0.108,115.994,Pacific Islands Remix [Tamina]
Pourquoi? (Bourgeoisie Remix) [Maryse],0.831,0.703,-7.767,0.0467,0.323,0.485,0.00166,0.213,115.01,Bourgeoisie Remix [Maryse]
Hurt You (Katie Lea),0.452,0.958,-5.27,0.261,0.103,0.56,0.0,0.355,135.261,Katie Lea
Strong and Sexy (Stronger) [Gail Kim],0.514,0.892,-5.271,0.0621,3.72e-05,0.648,0.882,0.185,143.045,Stronger [Gail Kim]
Party On (DJ Gabriel & Alicia Fox),0.901,0.556,-5.45,0.0587,0.00606,0.882,0.000111,0.324,117.967,DJ Gabriel & Alicia Fox
The Girl Next Door (Stacy Keibler),0.69,0.863,-6.452,0.115,0.002,0.85,0.876,0.0859,92.02,Stacy Keibler
Yeah Baby (Natalya),0.511,0.905,-4.269,0.0288,0.000156,0.439,0.86,0.0726,95.005,Natalya
Glamazon (Championship Remix) [Beth Phoenix],0.406,0.783,-4.978,0.0361,0.00366,0.436,0.628,0.153,110.997,Championship Remix [Beth Phoenix]
What Love Is (RnB Remix) [Candice Michelle],0.842,0.675,-4.526,0.137,0.13,0.699,0.0,0.108,91.169,RnB Remix [Candice Michelle]
Don't Mess With (2005) [Victoria],0.806,0.854,-4.519,0.208,0.023,0.167,0.0,0.123,95.002,2005 [Victoria]
Molly Holly (Molly Holly),0.538,0.953,-4.668,0.0382,6.92e-05,0.872,0.892,0.0727,113.01,Molly Holly
Never Back Down (Candice LeRae),0.402,0.98,-3.783,0.0536,0.00136,0.368,1.4e-05,0.165,159.838,Candice LeRae
Take Cover (Toni Storm),0.458,0.94,-6.894,0.056,2.11e-05,0.425,0.717,0.0657,90.022,Toni Storm
No Rest for the Wicked (Taynara Conti),0.62,0.885,-5.716,0.0314,0.000308,0.131,2.28e-05,0.085,139.038,Taynara Conti
Genius of the Sky (Io Shirai),0.473,0.842,-7.643,0.0309,6.53e-06,0.328,0.975,0.0829,140.017,Io Shirai
Brutality (Rhea Ripley),0.517,0.933,-5.972,0.0902,0.000286,0.562,0.000395,0.334,104.963,Rhea Ripley
Fluent in Purrazzo (Deonna Purrazzo),0.547,0.676,-7.244,0.0255,0.0752,0.365,0.0111,0.291,135.937,Deonna Purrazzo
Hey Bro (Matt Riddle),0.59,0.92,-6.575,0.047,0.00219,0.252,0.738,0.0846,89.979,Matt Riddle
Limitless (Keith Lee),0.713,0.94,-3.821,0.0359,0.24,0.486,0.0,0.365,136.014,Keith Lee
Force of Greatness (Nia Jax),0.585,0.981,-3.675,0.0541,0.00125,0.648,0.00416,0.238,118.937,Nia Jax
Go Hard (Mustafa Ali),0.527,0.833,-5.648,0.0398,0.000649,0.204,8.89e-06,0.348,164.085,Mustafa Ali
Opposite Ends of the World (Buddy Murphy),0.244,0.834,-7.411,0.0764,1.22e-06,0.313,0.625,0.135,72.502,Buddy Murphy
Fabulous (Carmella),0.779,0.562,-6.743,0.0538,0.0122,0.554,0.0,0.147,95.141,Carmella
Number One (Mia Yim),0.668,0.882,-4.086,0.0297,0.000149,0.339,0.0323,0.13,136.024,Mia Yim
"Let Me In (""The Fiend"" Bray Wyatt)",0.426,0.906,-3.904,0.0864,0.000107,0.295,0.165,0.365,125.084,"""The Fiend"" Bray Wyatt"
Ain’t No Stoppin’ Me (The Gold Standard Remix) [Shelton Benjamin],0.791,0.862,-5.342,0.148,0.0123,0.779,0.0,0.259,103.902,The Gold Standard Remix [Shelton Benjamin]
Derailer (A-Train),0.429,0.719,-5.485,0.0615,9.49e-05,0.787,0.894,0.158,102.193,A-Train
Know Your Role (Nation Leader) [The Rock],0.84,0.403,-10.14,0.163,0.00218,0.666,0.412,0.232,155.956,Nation Leader [The Rock]
End of Days (I've Had Enough) [The Corre],0.526,0.791,-9.072,0.0358,1.99e-05,0.416,5.49e-05,0.343,131.987,I've Had Enough [The Corre]
Take a Pill (1997),0.45,0.159,-21.798,0.0322,0.0939,0.0394,0.784,0.109,109.761,1997
You Look so Good to Me (The Runway) [2003],0.521,0.847,-11.962,0.0335,0.0394,0.559,0.0569,0.222,93.003,The Runway [2003]
Fighter (Dan Savern),0.34,0.645,-5.462,0.0262,2.21e-06,0.397,0.728,0.138,153.021,Dan Savern
Thuhn-Der (Jushin Liger),0.409,0.946,-5.111,0.0628,1.55e-06,0.327,0.933,0.175,82.973,Jushin Liger
Night of Gold (Official Theme Song - Night of Champions),0.5,0.86,-8.046,0.0478,0.0112,0.746,0.0,0.203,86.972,Official Theme Song - Night of Champions
Rebellion (The Ascension),0.418,0.909,-5.76,0.0552,0.000205,0.338,0.989,0.359,90.064,The Ascension
A League of Their Own (The League of Nations),0.173,0.741,-7.734,0.0616,0.0182,0.509,0.539,0.297,171.071,The League of Nations
Unholy Alliance (Undertaker & Big Show),0.427,0.452,-11.633,0.0279,0.182,0.192,0.772,0.136,86.053,Undertaker & Big Show
Fight (SummerSlam Theme Song),0.368,0.668,-5.144,0.0333,0.00298,0.334,6.89e-06,0.109,165.163,SummerSlam Theme Song
Superhuman (Baron Corbin),0.458,0.929,-6.176,0.118,4.58e-06,0.499,0.797,0.132,180.035,Baron Corbin
Blood (Gangrel),0.778,0.915,-5.163,0.0391,0.186,0.758,0.189,0.367,95.017,Gangrel
All About The Power (David Otunga),0.617,0.854,-9.162,0.0894,0.226,0.711,0.0,0.621,88.996,David Otunga
Dangerous Politics (Heidenreich),0.59,0.942,-7.336,0.0597,0.00114,0.877,0.723,0.208,190.044,Heidenreich
If You Smell...? (The Rock) [Legends of WWE],0.46,0.635,-10.611,0.0317,1.83e-05,0.681,0.808,0.336,169.901,The Rock [Legends of WWE]
Three Ain't Enough (Big E),0.762,0.891,-10.978,0.0471,0.00165,0.794,0.0217,0.128,131.003,Big E
Hallelujah (Rock Mix) (Damien Sandow),0.274,0.879,-5.631,0.0913,5.34e-05,0.533,0.839,0.0521,195.051,Rock Mix 
Stories of Greatness (Monday Night Raw),0.314,0.896,-5.654,0.0532,6.96e-06,0.301,3.38e-06,0.298,73.903,Monday Night Raw
Take a Chance (SmackDown Live),0.476,0.913,-5.965,0.0535,1.98e-05,0.364,0.0628,0.408,145.123,SmackDown Live
Bangers (The Headbangers),0.366,0.919,-5.55,0.0459,1.08e-06,0.68,0.96,0.0494,171.684,The Headbangers
The Undertaker (Original Piano Demo),0.539,0.068,-25.175,0.0672,0.994,0.0771,0.93,0.0834,117.552,Original Piano Demo
Drift (Elias),0.602,0.8,-5.646,0.0408,0.00016,0.534,0.836,0.114,150.102,Elias
Follower (The Ministry of Darkness),0.487,0.779,-8.072,0.0271,0.00103,0.501,0.941,0.259,95.731,The Ministry of Darkness
Внимание! (Attention!) (Lana),0.38,0.536,-7.54,0.0312,0.556,0.417,0.964,0.0516,79.878,Attention! 
On The Edge (Edge),0.651,0.947,-5.531,0.0465,0.0011,0.678,0.807,0.301,106.998,Edge
#MMMGORGEOUS (Tyler Breeze),0.498,0.975,-3.931,0.281,0.00143,0.422,0.0,0.51,121.967,Tyler Breeze
Smooth (Marcus Cor Von),0.736,0.547,-10.632,0.0292,0.00227,0.477,3.77e-06,0.336,105.759,Marcus Cor Von
Damn (Ron Simmons),0.628,0.576,-13.273,0.0448,1.72e-05,0.584,0.877,0.0919,119.994,Ron Simmons
Tusk (Rhyno),0.554,0.811,-3.781,0.0249,3.5e-06,0.474,0.52,0.0862,95.036,Rhyno
I Won't Do What You Tell Me (Stone Cold Steve Austin) [Legends of WWE],0.503,0.912,-9.219,0.0615,0.0179,0.638,0.966,0.318,166.076,Stone Cold Steve Austin [Legends of WWE]
Bangin It (Scotty 2 Hotty),0.791,0.725,-5.996,0.0449,0.000648,0.792,0.299,0.298,102.701,Scotty 2 Hotty
The Real Deal (D'Low Brown),0.715,0.928,-3.466,0.139,0.102,0.477,0.62,0.319,106.905,D'Low Brown
Hello Ladies (Val Venis),0.491,0.889,-4.268,0.0268,0.000125,0.615,0.883,0.369,108.027,Val Venis
Let's Light It Up (AJ),0.497,0.851,-4.073,0.0515,0.011,0.556,0.001,0.285,143.958,AJ
The Alpha Male (2007),0.76,0.904,-4.752,0.0304,0.0326,0.723,0.000179,0.322,102.732,2007
Pomp and Circumstance (Piano Tribute) [Macho Man Randy Savage],0.471,0.0492,-16.932,0.0461,0.989,0.478,0.821,0.106,79.854,Piano Tribute [Macho Man Randy Savage]
Sunday Night Heat Theme (Sunday Night Heat 1998),0.592,0.632,-14.177,0.0385,8.07e-06,0.419,0.963,0.139,105.035,Sunday Night Heat 1998
Fear Nothing (Justin Gabriel),0.446,0.866,-6.679,0.0579,7.25e-06,0.419,0.73,0.116,87.491,Justin Gabriel
Reality (The Miz/Mike Mizanin),0.365,0.688,-9.488,0.0313,2.8e-06,0.758,0.884,0.388,155.17,The Miz/Mike Mizanin
I Come From Money (Ted DiBiase),0.724,0.396,-17.986,0.0458,0.0868,0.462,0.0,0.0401,114.941,Ted DiBiase
Cult Of Personality (Re-Recorded / Remastered),0.318,0.854,-6.539,0.0684,0.000279,0.556,0.00513,0.675,184.383,Re-Recorded / Remastered
Sultry (XO) [Peyton Royce],0.649,0.976,-7.3,0.0418,0.000216,0.962,0.0976,0.0661,148.053,XO [Peyton Royce]
You Can Look - But You Can't Touch (The Bella Twins),0.817,0.921,-3.994,0.0563,0.241,0.922,0.0,0.227,130.032,The Bella Twins
Broken Dreams (Drew McIntyre) [feat. Shaman's Harvest],0.433,0.67,-10.4,0.0365,0.0179,0.335,1.63e-06,0.112,160.087,Drew McIntyre [feat. Shaman's Harvest]
"Hitman (Bret ""Hitman"" Hart)",0.585,0.907,-4.798,0.0352,0.000227,0.529,0.928,0.553,114.975,"Bret ""Hitman"" Hart"
Are You Ready? (D-Generation X),0.428,0.659,-8.425,0.307,0.00409,0.578,0.00107,0.122,172.65,D-Generation X
WWE: MacMilitant (Teddy Long),0.738,0.874,-4.561,0.127,0.0357,0.625,0.0,0.206,92.997,Teddy Long
Deadly Game (In Your House Theme),0.646,0.592,-7.862,0.0286,0.144,0.563,0.0,0.251,103.438,In Your House Theme
St. Valentine's Day Massacre Theme (1999),0.354,0.777,-5.49,0.0715,0.0561,0.184,0.608,0.0748,168.79,1999
Rage (WrestleMania 15),0.62,0.623,-13.529,0.0291,0.00924,0.766,0.935,0.0839,166.252,WrestleMania 15
California (WrestleMania XVI Theme),0.69,0.772,-6.271,0.104,0.0091,0.598,0.00133,0.0629,92.991,WrestleMania XVI Theme
No Mercy (No Mercy 2002),0.518,0.667,-8.906,0.0333,0.0184,0.0714,0.0117,0.115,105.349,No Mercy 2002
The End (Armageddon 2007 Theme Song),0.488,0.338,-10.868,0.0279,0.00292,0.257,0.000348,0.101,105.148,Armageddon 2007 Theme Song
End (WWE Judgement Day 2003),0.613,0.58,-11.147,0.0377,5.42e-05,0.276,0.897,0.304,84.013,WWE Judgement Day 2003
Great American Bash Theme (Great American Bash 2004),0.576,0.902,-11.571,0.034,1.86e-05,0.528,0.000181,0.105,131.129,Great American Bash 2004
Vengeance (WWE Vengeance 2004),0.521,0.631,-13.251,0.0344,1.57e-06,0.849,0.905,0.0866,154.922,WWE Vengeance 2004
Get It Poppin' (feat. Nelly) - Serban Main 4/20/05,0.908,0.552,-7.441,0.354,0.0856,0.564,0.0,0.0688,100.726,feat. Nelly - Serban Main 4/20/05
Cobrastyle (feat. Mad Cobra),0.712,0.913,-4.488,0.0943,0.314,0.783,0.0,0.375,88.409,feat. Mad Cobra
Whine Up (feat. Elephant Man) - English Version,0.817,0.563,-6.276,0.055,0.0526,0.488,1.32e-06,0.154,125.02,feat. Elephant Man - English Version
Snow (Hey Oh),0.427,0.9,-3.674,0.0499,0.116,0.599,1.75e-05,0.119,104.655,Hey Oh
Step Up (I'm On It),0.488,0.98,-3.205,0.0449,3.48e-06,0.544,0.148,0.25,140.045,I'm On It
I Made It (Cash Money Heroes),0.592,0.944,-2.94,0.111,0.043,0.574,0.0,0.365,124.42,Cash Money Heroes
Na Na Na (Na Na Na Na Na Na Na Na Na),0.411,0.986,-2.522,0.0583,0.000264,0.649,0.00148,0.371,165.981,Na Na Na Na Na Na Na Na Na
Written in the Stars (feat. Eric Turner),0.644,0.945,-3.534,0.0717,0.0587,0.573,0.0,0.184,91.017,feat. Eric Turner
Money In The Bank (Theme Song),0.805,0.841,-7.277,0.0695,0.000822,0.872,0.222,0.329,99.989,Theme Song
Make Some Noise (Put 'Em Up),0.543,0.951,-4.108,0.0572,0.0234,0.831,0.0219,0.109,107.489,Put 'Em Up
Wild Ones (feat. Sia),0.608,0.86,-5.324,0.0554,0.0991,0.437,0.0,0.262,127.075,feat. Sia
Big Epic Night (Night of Champions Theme),0.424,0.783,-12.192,0.0396,0.0345,0.488,0.963,0.156,169.983,Night of Champions Theme
Sandpaper (feat. M. Shadows),0.615,0.91,-3.402,0.0342,0.000116,0.687,1.86e-06,0.38,97.998,feat. M. Shadows
We Own It (Fast & Furious),0.554,0.899,-4.573,0.408,0.0521,0.552,0.0,0.0568,171.966,Fast & Furious
GDFR (feat. Sage the Gemini & Lookas),0.657,0.827,-4.036,0.0734,0.000704,0.69,0.00534,0.065,145.889,feat. Sage the Gemini & Lookas
Rise (feat. Skylar Grey),0.656,0.717,-2.893,0.0511,0.137,0.253,4.11e-06,0.119,129.867,feat. Skylar Grey
And Then There Was Darkness (WrestleMania 31) [feat. Shaman’s Harvest],0.439,0.406,-11.373,0.0312,0.763,0.182,0.0772,0.127,115.102,WrestleMania 31 [feat. Shaman’s Harvest]
One Against the World (Royal Rumble 2016),0.472,0.733,-15.268,0.0512,0.000541,0.405,0.968,0.081,110.006,Royal Rumble 2016
Hello Friday (feat. Jason Derulo),0.768,0.881,-4.392,0.113,0.0188,0.502,3.65e-06,0.298,99.98,feat. Jason Derulo
Ready for War (Pray for Peace),0.597,0.912,-3.65,0.0524,6.23e-05,0.323,0.000166,0.0781,130.928,Pray for Peace
This Light I Hold (feat. Jacoby Shaddix),0.399,0.984,-1.728,0.145,0.000312,0.183,0.0,0.0511,76.99,feat. Jacoby Shaddix
LOUD (Fuck It),0.586,0.92,-3.969,0.104,0.00145,0.706,1.22e-05,0.0119,93.038,Fuck It
Greenlight (feat. Flo Rida & LunchMoney Lewis),0.696,0.832,-5.603,0.269,0.279,0.632,0.0,0.358,115.067,feat. Flo Rida & LunchMoney Lewis
Go For Broke (feat. James Arthur),0.503,0.766,-3.281,0.334,0.242,0.646,0.0,0.0879,179.342,feat. James Arthur
Executioner's Tax (Swing of the Axe),0.484,0.991,-4.028,0.0676,0.000289,0.559,0.657,0.359,167.035,Swing of the Axe
Power (feat. Stormzy),0.586,0.865,-4.092,0.319,0.0345,0.468,5.55e-06,0.165,172.917,feat. Stormzy
wonderful life (feat. Dani Filth),0.406,0.964,-4.076,0.206,0.000416,0.406,0.000231,0.401,173.058,feat. Dani Filth
Fight Fire with Fire (feat. Ho99o9),0.384,0.963,-5.843,0.197,0.133,0.449,0.0118,0.259,192.393,feat. Ho99o9
Pain (Authors of Pain),0.565,0.927,-6.808,0.0964,4.96e-05,0.312,0.839,0.32,115.063,Authors of Pain
Hero's Welcome (Kassius Ohno) [feat. Cody B. Ware],0.574,0.92,-3.624,0.0737,0.0428,0.586,0.0,0.0557,94.234,Kassius Ohno [feat. Cody B. Ware]
Bollywood Breakdown (The Singh Brothers),0.463,0.962,-4.454,0.0467,0.000251,0.616,0.91,0.296,106.049,The Singh Brothers
Respectful (Dana Brooke),0.361,0.924,-7.064,0.0878,0.000179,0.619,1.31e-05,0.285,114.046,Dana Brooke
Livin' Large (Liv Morgan),0.556,0.965,-5.134,0.052,0.0225,0.807,0.915,0.055,162.011,Liv Morgan
Sheepherder (Erick Rowan),0.607,0.893,-5.511,0.0392,0.00053,0.573,0.791,0.0389,77.021,Erick Rowan
Roar of the Crowd (2016 Remix) [NXT],0.514,0.872,-4.063,0.0576,0.000847,0.627,0.0,0.332,125.775,2016 Remix [NXT]
Rage (NXT),0.618,0.955,-5.402,0.109,0.00267,0.593,0.0,0.0824,97.97,NXT
Slide (Wolfgang),0.498,0.71,-6.429,0.029,0.000111,0.546,0.856,0.0425,87.997,Wolfgang
